                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6967,                 3.3891,                  1.722,                 1.5281,                 5.1894,                 1.5531,                0.00856,                0.41285,                0.11606,                0.06244,                 1.5648,                  3.697,                   1.65,                 1.3661,                 6.9282,                 1.5269,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                  1.544,                 2.9704,                 1.5381,                 1.3962,                  4.607,                  1.424,                0.00826,                0.56766,                0.12935,                0.06781,                 1.4373,                 3.5947,                 1.4892,                 1.2216,                 6.7721,                 1.3944,             0.00015408,             0.00015408,             0.00015408
                      3,                 1.5247,                 2.2788,                 1.5247,                 1.3771,                 4.2904,                 1.4022,                0.00874,                0.54731,                0.09627,                0.04712,                 1.5201,                 3.6088,                 1.5712,                 1.3371,                  6.847,                 1.4714,             0.00023331,             0.00023331,             0.00023331
                      4,                 1.5575,                 1.9007,                 1.5167,                 1.3399,                 3.9687,                 1.3588,                0.00755,                0.55203,                0.12477,                0.06908,                 1.6934,                  3.542,                 1.7821,                 1.3915,                 6.8755,                  1.542,             0.00030915,             0.00030915,             0.00030915
                      5,                 1.5463,                 1.6078,                 1.4873,                 1.3169,                 3.6987,                 1.3295,                0.00916,                0.64826,                 0.1742,                0.09425,                 1.5356,                 3.3238,                 1.6035,                 1.2163,                 6.6552,                 1.3649,             0.00038159,             0.00038159,             0.00038159
                      6,                 1.5263,                  1.571,                 1.4814,                 1.3236,                 3.6783,                 1.3251,                0.00873,                0.70391,                0.18561,                0.10315,                 1.6219,                 3.2259,                 1.6926,                 1.2598,                 6.6294,                 1.4467,             0.00045064,             0.00045064,             0.00045064
                      7,                 1.4749,                 1.5078,                 1.4608,                 1.3138,                 3.5117,                 1.3334,                0.01091,                0.66468,                0.22383,                0.11826,                  1.616,                 3.0734,                 1.6591,                 1.3098,                 6.5743,                 1.4467,             0.00051629,             0.00051629,             0.00051629
                      8,                 1.4831,                 1.4546,                 1.4371,                 1.3618,                 3.3154,                 1.3375,                 0.0145,                0.68296,                0.18889,                0.09205,                 1.7104,                 3.1698,                 1.7237,                 1.4005,                 6.6392,                 1.5064,             0.00057854,             0.00057854,             0.00057854
                      9,                 1.4832,                 1.4102,                 1.4297,                 1.3805,                 3.1783,                 1.3329,                0.01476,                0.76804,                0.22669,                0.11094,                 1.6796,                  3.031,                   1.71,                 1.3692,                 6.4812,                  1.478,              0.0006374,              0.0006374,              0.0006374
                     10,                 1.4992,                 1.3994,                 1.4455,                 1.3986,                 3.0508,                 1.3572,                0.01076,                0.71749,                0.29773,                0.14949,                 1.7389,                 2.9618,                 1.7506,                 1.4258,                 6.4115,                 1.5367,             0.00069287,             0.00069287,             0.00069287
                     11,                 1.4601,                 1.3667,                 1.4133,                 1.3996,                 2.8877,                 1.3482,                0.01065,                0.75837,                0.27667,                0.13545,                  1.826,                  2.934,                 1.8653,                 1.5899,                 6.3666,                 1.6444,             0.00074494,             0.00074494,             0.00074494
                     12,                 1.4242,                 1.3154,                 1.4021,                 1.3865,                 2.7642,                  1.353,                0.63361,                0.30434,                0.28821,                0.13281,                 1.9229,                 2.9367,                 1.9285,                 1.6591,                 6.2272,                 1.6479,             0.00079361,             0.00079361,             0.00079361
                     13,                 1.4498,                 1.2945,                 1.3999,                 1.4016,                 2.6455,                 1.3454,                0.88608,                 0.0578,                0.31416,                0.14689,                 1.7773,                  2.738,                 1.8626,                 1.5609,                 5.9453,                 1.6784,             0.00083889,             0.00083889,             0.00083889
                     14,                 1.4715,                 1.2887,                 1.4088,                  1.444,                 2.5407,                 1.3536,                0.78999,                 0.2409,                0.34006,                0.15187,                 1.8496,                 2.4576,                 1.9165,                 1.6549,                  5.507,                 1.7836,             0.00088078,             0.00088078,             0.00088078
                     15,                 1.4715,                 1.2921,                 1.4199,                 1.4383,                  2.486,                 1.3732,                0.86934,                 0.2474,                0.46267,                0.20406,                 1.8096,                 2.3465,                 1.8475,                 1.6742,                 5.2325,                 1.7168,             0.00091926,             0.00091926,             0.00091926
                     16,                  1.477,                 1.2865,                 1.4206,                 1.4462,                 2.3746,                 1.3688,                0.77776,                0.26623,                0.46458,                0.19901,                 1.8975,                  2.381,                 1.9472,                 1.6819,                 5.0747,                 1.7198,             0.00095436,             0.00095436,             0.00095436
                     17,                 1.4647,                 1.2604,                 1.4287,                 1.4539,                 2.3073,                 1.3951,                0.73838,                0.20244,                0.28573,                0.11167,                   2.14,                 2.5498,                 2.2682,                 1.9274,                 5.1326,                 2.0041,             0.00097629,             0.00097629,             0.00097629
